LocalisedField254,LocalisedField253,LocalisedField252
"City, State: Colonial Heights,  , VA",Store Number: 2048,Manager: Max Croston

Textbox47,Textbox49,Textbox53,Textbox51,Textbox57,Textbox55,Textbox61,Textbox63,Textbox65,Textbox67,Textbox69,Textbox75,Textbox73,Textbox71,Textbox59,Textbox87,Textbox89,Textbox94,Textbox125,Textbox96,Textbox95,Textbox97,Textbox98,Textbox99,Textbox100,Textbox101,Textbox102,Textbox103,Textbox104,Textbox105,Textbox106,Textbox111,Textbox112,Textbox113,Textbox114,Textbox115,Textbox116,Textbox117,Textbox118,Textbox119,Textbox120,Textbox121,Textbox122,Textbox123,Textbox124,Description,Total,Quantity,WedAM,WedPM,ThuAM,ThuPM,FriAM,FriPM,SatAM,SatPM,SunAM,SunPM,MonAM,MonPM,TueAM,TuePM
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,= Adjusted Sales,"11,114.50",0,"1,026.35",646.05,913.40,624.75,970.10,757.85,545.20,632.05,922.25,663.75,940.15,649.85,"1,050.25",772.50
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- Net Employee Freebies,39.50,0,0.00,0.00,0.00,0.00,0.00,0.00,20.50,0.00,0.00,0.00,0.00,0.00,0.00,19.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- Net Manager Freebies,94.75,0,0.00,0.00,0.00,17.50,0.00,19.00,7.00,10.25,0.00,10.25,0.00,10.25,0.00,20.50
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- Sampling,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- Waste,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- Other Promo,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,- Loyalty,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,= Royalty Sales,"10,980.25",0,"1,026.35",646.05,913.40,607.25,970.10,738.85,517.70,621.80,922.25,653.50,940.15,639.60,"1,050.25",733.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,+ Other Tax/Fee,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sales Item,Summary,#EA,Wed-1,Wed-2,Thur-3,Thur-4,Fri-5,Fri-6,Sat-7,Sat-8,Sun-9,Sun-10,Mon-11,Mon-12,Tues-13,Tues-14,9/4/2019,9/4/2019,9/5/2019,9/5/2019,9/6/2019,9/6/2019,9/7/2019,9/7/2019,9/8/2019,9/8/2019,9/9/2019,9/9/2019,9/10/2019,9/10/2019,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,AM,PM,+ Sales Tax,"1,194.79",0,112.22,70.99,100.14,67.10,105.73,81.25,57.15,68.93,88.75,72.86,102.32,70.61,115.77,80.97
